year,institution_type,facility_type_a,public_private,no_of_facilities,no_beds,sector,facility_type_b
2011,Pharmacies,"","",56,0,Public,Public Pharmacies
2011,Pharmacies,"","",193,0,Private,Private Pharmacies
2012,Primary Care Facilities,"","",18,0,Public,Polyclinics
2012,Primary Care Facilities,"","",1743,0,Private,General Practioner Clinics
2012,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2012,Dental Clinics,"","",6,0,Public,Hospital/Institution Dental Clinic
2012,Dental Clinics,"","",225,0,Public,School Dental Clinics
2012,Dental Clinics,"","",660,0,Private,Private Dental Clinics
2012,Pharmacies,"","",50,0,Public,Public Pharmacies
2012,Pharmacies,"","",195,0,Private,Private Pharmacies
2013,Primary Care Facilities,"","",18,0,Public,Polyclinics
2013,Primary Care Facilities,"","",1805,0,Private,General Practioner Clinics
2013,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2013,Dental Clinics,"","",6,0,Public,Hospital/Institution Dental Clinic
2013,Dental Clinics,"","",221,0,Public,School Dental Clinics
2013,Dental Clinics,"","",694,0,Private,Private Dental Clinics
2013,Pharmacies,"","",51,0,Public,Public Pharmacies
2013,Pharmacies,"","",196,0,Private,Private Pharmacies
2014,Primary Care Facilities,"","",18,0,Public,Polyclinics
2014,Primary Care Facilities,"","",1868,0,Private,General Practioner Clinics
2014,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2014,Dental Clinics,"","",6,0,Public,Hospital/Institution Dental Clinic
2014,Dental Clinics,"","",233,0,Public,School Dental Clinics
2014,Dental Clinics,"","",722,0,Private,Private Dental Clinics
2014,Pharmacies,"","",63,0,Public,Public Pharmacies
2014,Pharmacies,"","",190,0,Private,Private Pharmacies
2015,Primary Care Facilities,"","",18,0,Public,Polyclinics
2015,Primary Care Facilities,"","",1933,0,Private,General Practioner Clinics
2015,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2015,Dental Clinics,"","",7,0,Public,Hospital/Institution Dental Clinic
2015,Dental Clinics,"","",232,0,Public,School Dental Clinics
2015,Dental Clinics,"","",792,0,Private,Private Dental Clinics
2015,Pharmacies,"","",62,0,Public,Public Pharmacies
2015,Pharmacies,"","",170,0,Private,Private Pharmacies
2016,Primary Care Facilities,"","",18,0,Public,Polyclinics
2016,Primary Care Facilities,"","",2025,0,Private,General Practioner Clinics
2016,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2016,Dental Clinics,"","",8,0,Public,Hospital/Institution Dental Clinic
2016,Dental Clinics,"","",236,0,Public,School Dental Clinics
2016,Dental Clinics,"","",835,0,Private,Private Dental Clinics
2016,Pharmacies,"","",62,0,Public,Public Pharmacies
2016,Pharmacies,"","",173,0,Private,Private Pharmacies
2017,Primary Care Facilities,"","",20,0,Public,Polyclinics
2017,Primary Care Facilities,"","",2116,0,Private,General Practioner Clinics
2017,Dental Clinics,"","",10,0,Public,Polyclinic Dental Clinics
2017,Dental Clinics,"","",9,0,Public,Hospital/Institution Dental Clinic
2017,Dental Clinics,"","",233,0,Public,School Dental Clinics
2017,Dental Clinics,"","",863,0,Private,Private Dental Clinics
2017,Pharmacies,"","",62,0,Public,Public Pharmacies
2017,Pharmacies,"","",181,0,Private,Private Pharmacies
2018,Primary Care Facilities,"","",20,0,Public,Polyclinics
2018,Primary Care Facilities,"","",2222,0,Private,General Practioner Clinics
2018,Dental Clinics,"","",10,0,Public,Polyclinic Dental Clinics
2018,Dental Clinics,"","",8,0,Public,Hospital/Institution Dental Clinic
2018,Dental Clinics,"","",228,0,Public,School Dental Clinics
2018,Dental Clinics,"","",876,0,Private,Private Dental Clinics
2018,Pharmacies,"","",68,0,Public,Public Pharmacies
2018,Pharmacies,"","",190,0,Private,Private Pharmacies
2019,Primary Care Facilities,"","",20,0,Public,Polyclinics
2019,Primary Care Facilities,"","",2304,0,Private,General Practioner Clinics
2019,Dental Clinics,"","",10,0,Public,Polyclinic Dental Clinics
2019,Dental Clinics,"","",8,0,Public,Hospital/Institution Dental Clinic
2019,Dental Clinics,"","",228,0,Public,School Dental Clinics
2019,Dental Clinics,"","",851,0,Private,Private Dental Clinics
2019,Pharmacies,"","",67,0,Public,Public Pharmacies
2019,Pharmacies,"","",189,0,Private,Private Pharmacies
2020,Primary Care Facilities,"","",20,0,Public,Polyclinics
2020,Primary Care Facilities,"","",2343,0,Private,General Practioner Clinics
2020,Dental Clinics,"","",10,0,Public,Polyclinic Dental Clinics
2020,Dental Clinics,"","",8,0,Public,Hospital/Institution Dental Clinic
2020,Dental Clinics,"","",227,0,Public,School Dental Clinics
2020,Dental Clinics,"","",862,0,Private,Private Dental Clinics
2020,Pharmacies,"","",66,0,Public,Public Pharmacies
2020,Pharmacies,"","",193,0,Private,Private Pharmacies
